Gen	Fitness	BiSection Cost
717	311	126
718	311	126
719	311	126
720	311	126
721	311	126
722	311	126
723	311	126
724	311	126
725	311	126
726	311	126
727	311	126
728	311	126
729	311	126
730	311	126
731	311	126
732	311	126
733	311	126
734	311	126
735	311	126
736	311	126
737	311	126
738	311	126
739	311	126
740	311	126
741	311	126
742	311	126
743	311	126
744	311	126
745	311	126
746	311	126
747	311	126
748	311	126
749	311	126
750	311	126
751	311	126
752	311	126
753	311	126
754	311	126
755	311	126
756	311	126
757	311	126
758	311	126
759	311	126
760	311	126
761	311	126
762	311	126
763	311	126
764	311	126
765	311	126
766	311	126
767	311	126
768	311	126
769	311	126
770	311	126
771	311	126
772	311	126
773	311	126
774	311	126
775	311	126
776	311	126
777	311	126
778	311	126
779	311	126
780	311	126
781	311	126
782	311	126
783	311	126
784	311	126
785	311	126
786	311	126
787	311	126
788	311	126
789	311	126
790	311	126
791	311	126
792	311	126
793	311	126
794	311	126
795	311	126
796	311	126
797	311	126
798	311	126
799	311	126
800	311	126
801	311	126
802	311	126
803	311	126
804	311	126
805	311	126
806	311	126
807	311	126
808	311	126
809	311	126
810	311	126
811	311	126
812	311	126
813	311	126
814	311	126
815	311	126
816	311	126
817	311	126
818	311	126
819	311	126
820	311	126
821	311	126
822	311	126
823	311	126
824	311	126
825	311	126
826	311	126
827	311	126
828	311	126
829	311	126
830	311	126
831	311	126
832	311	126
833	311	126
834	311	126
835	311	126
836	311	126
837	311	126
838	311	126
839	311	126
840	311	126
841	311	126
842	311	126
843	311	126
844	311	126
845	311	126
846	311	126
847	311	126
848	311	126
849	311	126
850	311	126
851	311	126
852	311	126
853	311	126
854	311	126
855	311	126
856	311	126
857	311	126
858	311	126
859	311	126
860	311	126
861	311	126
862	311	126
863	311	126
864	311	126
865	311	126
866	311	126
867	311	126
868	311	126
869	311	126
870	311	126
871	311	126
872	311	126
873	311	126
874	311	126
875	311	126
876	311	126
877	311	126
878	311	126
879	311	126
880	311	126
881	311	126
882	311	126
883	311	126
884	311	126
885	311	126
886	311	126
887	311	126
888	311	126
889	311	126
890	311	126
891	311	126
892	311	126
893	311	126
894	311	126
895	311	126
896	311	126
897	311	126
898	311	126
899	311	126
900	311	126
901	311	126
902	311	126
903	311	126
904	311	126
905	311	126
906	311	126
907	311	126
908	311	126
909	311	126
910	311	126
911	311	126
912	311	126
913	311	126
914	311	126
915	311	126
916	311	126
917	311	126
918	311	126
919	311	126
920	311	126
921	311	126
922	311	126
923	311	126
924	311	126
925	311	126
926	311	126
927	311	126
928	311	126
929	311	126
930	311	126
931	311	126
932	311	126
933	311	126
934	311	126
935	311	126
936	311	126
937	311	126
938	311	126
939	311	126
940	311	126
941	311	126
942	311	126
943	311	126
944	311	126
945	311	126
946	311	126
947	311	126
948	311	126
949	311	126
950	311	126
951	311	126
952	311	126
953	311	126
954	311	126
955	311	126
956	311	126
957	311	126
958	311	126
959	311	126
960	311	126
961	311	126
962	311	126
963	311	126
964	311	126
965	311	126
966	311	126
967	311	126
968	311	126
969	311	126
970	311	126
971	311	126
972	311	126
973	311	126
974	311	126
975	311	126
976	311	126
977	311	126
978	311	126
979	311	126
980	311	126
981	311	126
982	311	126
983	311	126
984	311	126
985	311	126
986	311	126
987	311	126
988	311	126
989	311	126
990	311	126
991	311	126
992	311	126
993	311	126
994	311	126
995	311	126
996	311	126
997	311	126
998	311	126
999	311	126
